,Drug_ID,Drug,Y
30,Glimepiride.mol,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,1
31,Glipizide.mol,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,1
32,Glycine,NCC(=O)O,1
33,Granisetron.mol,CN1[C@H]2CCC[C@@H]1C[C@H](NC(=O)c1nn(C)c3ccccc13)C2,1
34,Haloperidol.mol,O=C(CCCN1CCC(O)(c2cccc(Cl)c2)CC1)c1ccc(F)cc1,1
35,Hydralazine.mol,NNc1nncc2ccccc12,1
36,Indobufen.mol,CC[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,1
37,Indomethacin.mol,COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccccc1,1
38,Irbesartan.mol,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1
39,Isosorbide-2-mononitrate.mol,O=[N+]([O-])O[C@H]1CO[C@@H]2[C@H](O)CO[C@@H]12,1
40,Isoxicam,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)[C@@H]2C)no1,1
41,Ketanserin.mol,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,1
42,Levobunolol,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,1
43,Levonorgestrel.mol,C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21CC,1
44,Lisuride.mol,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,1
45,Lormetazepam.mol,CN1C(=O)[C@@H](O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,1
46,Lornoxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,1
47,Lynestrenol.mol,C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@@H]3CC[C@@]21C,1
48,Meclofenamic_acid,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,1
49,Megestrol_acetate,CC(=O)O[C@]1(C(C)=O)CC[C@@H]2[C@H]3C=C(C)C4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C,1
50,Meperidine.mol,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,1
51,Meptazinol.mol,CC[C@]1(c2cccc(O)c2)CCCCN(C)C1,1
52,Methsuximide,CN1C(=O)C[C@@](C)(c2ccccc2)C1=O,1
53,Methylergonovine.mol,CC[C@H](CO)NC(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,1
54,Methysergide.mol,CC[C@H](CO)NC(=O)[C@H]1C=C2c3cccc4c3c(cn4C)C[C@@H]2N(C)C1,1
55,Nalbuphine.mol,Oc1ccc2c3c1O[C@@H]1[C@@H](O)CC[C@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@@]314,1
56,Nicotine.mol,CN1CCC[C@@H]1c1cccnc1,1
57,Ofloxacin.mol,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1
58,Oxyphenbutazone,CCCC[C@@H]1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,1
59,Piroxicam.mol,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,1
60,Polythiazide,CN1[C@H](CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,1
61,Probenecid.mol,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,1
62,Procarbazine,CNNCc1ccc(C(=O)NC(C)C)cc1,1
63,Propofol,CC(C)c1cccc(C(C)C)c1O,1
64,Proxyphylline.mol,C[C@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1
65,Pseudoephedrine.mol,CN[C@@H](C)[C@@H](O)c1ccccc1,1
66,Pyrazinamide,NC(=O)c1cnccn1,1
67,Remoxipride,CCN1CCC[C@@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,1
68,Repaglinide.mol,CCOc1cc(CC(=O)N[C@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,1
69,Selegiline.mol,C#CCN(C)[C@@H](C)Cc1ccccc1,1
70,Sudoxicam,CN1C(C(=O)Nc2nccs2)=C(O)c2ccccc2S1(=O)=O,1
71,Sulfinpyrazone.mol,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,1
72,Tamoxifen.mol,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1
73,Tenoxicam.mol,CN1C(C(=O)Nc2ccccn2)=Cc2sccc2S1(=O)=O,1
74,Terfenadine.mol,CC(C)(C)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1
75,Tilidine,CCCC(=O)[C@]1(c2ccccc2)CCC=C[C@@H]1N(C)C,1
76,Tinidazole.mol,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,1
77,Tocainide.mol,Cc1cccc(C)c1NC(=O)[C@@H](C)N,1
78,Toremifene.mol,CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1,1
79,Triamcinolone,C[C@@]12C=CC(=O)C=C1CC[C@@H]1[C@H]3C[C@@H](O)[C@@](O)(C(=O)CO)[C@]3(C)C[C@@H](O)[C@@]12F,1
80,Trifluoperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1
81,Zileuton,C[C@H](c1cc2ccccc2s1)N(O)C(N)=O,1
82,Zomepirac,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,1
83,Zonisamide.mol,NS(=O)(=O)Cc1noc2ccccc12,1
84,Zotepine.mol,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,1
85,Caffeine.mol,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1
86,Chlordiazepoxide.mol,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,1
87,Ciprofibrate.mol,CC(C)(Oc1ccc([C@@H]2CC2(Cl)Cl)cc1)C(=O)O,1
88,Diazepam.mol,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1
89,Fluorescein.mol,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,1
90,Lomefloxacin.mol,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN[C@@H](C)C3)c(F)c21,1
91,Pheniramine.mol,CN(C)CC[C@H](c1ccccc1)c1ccccn1,1
92,Tianeptine.mol,CN1c2ccccc2N(CCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,1
93,Viloxazine.mol,CCOc1ccccc1OC[C@H]1COCCN1,1
94,Antipyrine.mol,Cc1cc(=O)n(-c2ccccc2)n1C,1
95,Chlorpromazine.mol,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1
96,Cyproterone_acetate,CC(=O)O[C@]1(C(C)=O)CC[C@@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@H]5C[C@@H]5[C@]4(C)[C@@H]3CC[C@@]21C,1
97,Glibornuride,Cc1ccc(S(=O)(=O)NC(=O)N[C@@H]2[C@H]3CC[C@](C)([C@H]2O)C3(C)C)cc1,1
98,Ibuprofen.mol,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,1
99,Imatinib.mol,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1
100,Isoxepac,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,1
101,Lacidipine.mol,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,1
102,Lidocaine.mol,CCN(CC)CC(=O)Nc1c(C)cccc1C,1
103,Mexiletine.mol,Cc1cccc(C)c1OC[C@H](C)N,1
104,Oxaprozin.mol,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,1
105,Pelrinone,Cc1nc(NCc2cccnc2)c(C#N)c(=O)[nH]1,1
106,Rivastigmine.mol,CCN(C)C(=O)Oc1cccc([C@@H](C)N(C)C)c1,1
107,Ropinirole.mol,CCCNC(Cc1cccc2c1CC(=O)N2)NCCC,1
108,Valproic_acid.mol,CCCC(CCC)C(=O)O,1
109,Cotinine.mol,CN1C(=O)CC[C@@H]1c1cccnc1,1
110,Gallopamil.mol,COc1ccc(CCN(C)CCC[C@](C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,1
111,Oxazepam.mol,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@H]1O,1
112,Risperidone.mol,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,1
113,Bumetanide.mol,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,1
114,Clofibrate.mol,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,1
115,Metoprolol.mol,COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1,1
116,Progesterone.mol,CC(=O)[C@@H]1CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]12C,1
117,Trapidil.mol,CCN(CC)c1cc(C)nc2ncnn12,1
118,Acipimox.mol,Cc1cnc(C(=O)O)c[n+]1[O-],1
119,Amitriptyline.mol,CN(C)CCC=C1c2ccccc2CCc2ccccc21,1
120,Amobarbital.mol,CC[C@]1(CCC(C)C)C(=O)N=C(O)N=C1O,1
121,Baclofen.mol,N[C@H](CCC(=O)O)c1ccc(Cl)cc1,1
122,Carbimazole.mol,CCOC(=O)n1ccn(C)c1=S,1
123,Carteolol.mol,CC(C)(C)NC[C@H](O)COc1cccc2c1CCC(=O)N2,1
124,Chorpropamide.mol,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1
125,Clomethiazole.mol,Cc1ncsc1CCCl,1
126,Clomipramine.mol,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1
127,Clonidine.mol,Clc1cccc(Cl)c1N=C1NCCN1,1
128,Clopenthixol,OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(Cl)cc32)CC1,1
129,Disopyramide.mol,CC(C)N(CC[C@](C(N)=O)(c1ccccc1)c1cccnc1)C(C)C,1
130,Domperidone.mol,O=c1[nH]c2ccccc2n1CCCN1CCC(Nn2c(=O)[nH]c3cc(Cl)ccc32)CC1,1
131,Fludrocortisone_acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@]3(F)[C@@H](O)C[C@@]21C,1
132,Flumazenil.mol,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,1
133,Flurbiprofen.mol,C[C@H](C(=O)O)c1ccc(-c2cccc(F)c2)cc1,1
134,Glymidine,COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1,1
135,Hexobarbital.mol,CN1C(=O)[C@@](C)(C2=CCCCC2)C(=O)N=C1O,1
136,Ketoprofen.mol,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1
137,Ketorolac.mol,O=C(c1ccccc1)c1ccc2n1CC[C@@H]2C(=O)O,1
138,Levamisole.mol,c1ccc([C@@H]2CN3CCSC3=N2)cc1,1
139,Metronidazole.mol,Cc1ncc([N+](=O)[O-])n1CCO,1
140,Nicardipine.mol,COC(=O)c1c(C)cc([N+](=O)[O-])c(C(=O)OCCN(C)Cc2ccccc2)c1C1C=C(C)NC(C)=C1,1
141,Nitrazepam.mol,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,1
142,Nitrofurantoin.mol,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,1
143,Nizatidine.mol,CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,1
144,Pefloxacin.mol,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,1
145,Pentazocine.mol,CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C,1
146,Perindopril.mol,CCC[C@@H](N[C@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,1
147,Phenylpropanolamine.mol,C[C@H](N)[C@@H](O)c1ccccc1,1
148,Ritodrine.mol,C[C@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1,1
149,Sulfisoxazole.mol,Cc1nsc(NS(=O)(=O)c2ccc(N)cc2)c1C,1
150,Tacrine.mol,Nc1c2c(nc3ccccc13)CCCC2,1
151,Temazepam.mol,CN1C(=O)[C@@H](O)N=C(c2ccccc2)c2cc(Cl)ccc21,1
152,Tropisetron.mol,CN1[C@@H]2CC[C@@H]1CC(OC(=O)c1cn(C)c3ccccc13)C2,1
153,Venlafaxine.mol,COc1ccc([C@H](CN(C)C)C2(O)CCCCC2)cc1,1
154,Zolpidem.mol,CCCN(CCC)C(=O)Cc1c(-c2ccc(C)cc2)nc2ccc(C)cn12,1
155,Clozapine.mol,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,1
156,Felodipine.mol,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc(Cl)c1Cl,1
157,Fluconazole.mol,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1
158,Nicotinic_acid,O=C(O)c1cccnc1,1
159,Alprenolol.mol,C=CCc1ccccc1OC[C@@H](O)CNC(C)C,1
160,Scopolamine.mol,CN1[C@H]2C[C@H](OC(=O)[C@@H](CO)c3ccccc3)C[C@@H]1[C@@H]1O[C@H]12,1
161,Tetrahydrocannabinol.mol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,1
162,Isradipine.mol,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc2nonc12,1
163,Hydrocortisone,C[C@@]12CCC(=O)C=C1CC[C@H]1[C@H]2[C@H](O)C[C@]2(C)[C@@H]1CC[C@@]2(O)C(=O)CO,1
164,Naloxone.mol,C=CCN1CC[C@@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@@H]1C5,1
165,Terazosin.mol,COc1cc2nc(N3CCN(C(=O)[C@@H]4CCCO4)CC3)nc(N)c2cc1OC,1
166,Almitrine.mol,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,1
167,Bisoprolol.mol,CC(C)NC[C@H](O)COc1ccc(COCCOC(C)C)cc1,1
168,Dapsone.mol,Nc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,1
169,Ethacrynic_acid,CCC(=O)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,1
170,Felbamate.mol,NC(=O)OCC(COC(N)=O)c1ccccc1,1
171,Feprazone,CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,1
172,Fluvoxamine.mol,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,1
173,Hydroxyprogesterone_caproate,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]21C,1
174,Isosorbide_dinitrate.mol,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],1
175,Isotretinoin.mol,CC(=CC(=O)O)/C=C/C=C(C)\C=C/C1=C(C)CCCC1(C)C,1
176,Ketotifen,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,1
177,Mefenamic_acid,Cc1cccc(Nc2ccccc2C(=O)O)c1C,1
178,Mifepristone.mol,C#C[C@@]1(O)CC[C@@H]2[C@@H]3CC[C@@H]4CC(=O)CCC4=C3[C@H](c3ccc(N(C)C)cc3)C[C@@]21C,1
179,Morphine.mol,CN1CC[C@@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@@H]3[C@@H]1C5,1
180,Moxifloxacin.mol,COc1c2c(cc(F)c1N1C[C@@H]3CCCN[C@@H]3C1)C(=O)C(C(=O)O)=C[C@@H]2NC1CC1,1
181,Nalidixic_acid,CCN1C[C@@H](C(=O)O)C(=O)c2ccc(C)nc21,1
182,Papaverine.mol,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,1
183,Phenazopyridine,Nc1ccc(/N=N/c2ccccc2)c(N)n1,1
184,Phenytoin.mol,O=C1NNC(=O)C1(c1ccccc1)c1ccccc1,1
185,Quinalbarbitone,C=CC[C@@]1([C@@H](C)CCC)C(=C)NC(O)=NC1=O,1
186,Rabeprazole.mol,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,1
187,Riluzole.mol,Nc1nc2ccc(OC(F)(F)F)cc2s1,1
188,Sulfisomidine,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,1
189,Telithromycin.mol,CC[C@@H]1OC(=O)[C@@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(OC)C[C@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,1
190,Thiabendazole,c1ccc2[nH]c(-c3cscn3)nc2c1,1
191,Tibolone,C#C[C@@]1(O)CC[C@@H]2[C@H]3[C@@H](C)CC4=C(CCC(=O)C4)[C@@H]3CC[C@@]21C,1
192,Tolazoline,c1ccc(CC2=NCCN2)cc1,1
193,Triamcinolone_acetonide.mol,CC1(C)O[C@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@H]5[C@]4(F)[C@H](O)C[C@]3(C)[C@@]2(C(=O)CO)O1,1
194,Dihydrocodeine,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@H]4[C@H](C2)N(C)CC[C@]341,1
195,Sultopride,CCN1CCC[C@@H]1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC,1
196,Tenidap,NC(=O)N1C(=O)[C@@H](C(=O)c2cccs2)c2cc(Cl)ccc21,1
197,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,1
198,Metoclopramide.mol,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,1
199,Moxonidine.mol,COc1nc(C)nc(Cl)c1NC1=NCCN1,1
200,Trovafloxacin.mol,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,1
201,Benzydamine.mol,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,1
202,Bupropion.mol,C[C@@H](NC(C)(C)C)C(=O)c1ccc(Cl)cc1,1
203,Cimetidine.mol,C/N=C(\NC#N)NCCSCc1nc[nH]c1C,1
204,Clindamycin.mol,CCC[C@@H]1C[C@H](C(=O)N[C@@H]([C@H](C)Cl)[C@@H]2O[C@@H](SC)[C@@H](O)[C@@H](O)[C@@H]2O)N(C)C1,1
205,Acebutolol.mol,CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1,1
206,Acetaminophen.mol,CC(=O)Nc1ccc(O)cc1,1
207,Chlorguanide,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,1
208,Dolasetron.mol,O=C(O[C@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,1
209,Lansoprazole.mol,Cc1cnc(CS(=O)c2nc3ccccc3[nH]2)cc1OCC(F)(F)F,1
210,Oxyfedrine.mol,COc1cccc(C(=O)CCN[C@@H](C)[C@@H](O)c2ccccc2)c1,1
211,Piretanide.mol,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,1
212,Sulfamethizole,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1
213,Triazolam.mol,CC1=NNC2=CN=C(c3ccccc3Cl)c3cc(Cl)ccc3N21,1
214,Zalcitabine.mol,Nc1ccn([C@H]2CC[C@H](CO)O2)c(=O)n1,1
215,Molecule-618,C=C[C@H]1CN2CC[C@@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1
216,Albuterol.mol,CC(C)(C)NC[C@@H](O)c1ccc(O)c(C(=O)O)c1,1
217,Ibutilide.mol,CCCCCCCN(CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,1
218,Methylprednisolone.mol,C[C@H]1C[C@H]2[C@H]([C@H](O)C[C@]3(C)[C@@H]2CC[C@@]3(O)C(=O)CO)[C@]2(C)C=CC(=O)C=C12,1
219,Flecainide.mol,O=C(NC[C@@H]1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,1
220,Acetohexamide,CC(=O)c1ccc(S(=O)(=O)N=C(O)NC2CCCCC2)cc1,1
221,Allopurinol.mol,O=c1[nH]cnc2[nH]ncc12,1
222,Carvedilol.mol,COc1ccccc1OCCNC[C@@H](O)OCc1cccc2[nH]c3ccccc3c12,1
223,Clonazepam.mol,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,1
224,Dantrolene,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,1
225,Enoximone.mol,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,1
226,Floxacillin.mol,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)O,1
227,Flunarizine,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CCCc3ccccc3)CC2)cc1,1
228,Fluoxetine.mol,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1
229,Guanadrel,N=C(N)NC[C@@H]1COC2(CCCCC2)O1,1
230,Isoniazid.mol,NNC(=O)c1ccncc1,1
231,Itraconazole.mol,CC[C@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,1
232,Methadone.mol,CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,1
233,Methylphenidate.mol,COC(=O)[C@H](c1ccccc1)[C@@H]1CCCCN1,1
234,Modafinil,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,1
235,Nabumetone.mol,COc1ccc2cc(CCC(C)=O)ccc2c1,1
236,Omeprazole.mol,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,1
237,Pramipexole.mol,CCCN[C@@H]1CCc2nc(N)sc2C1,1
238,Quinidine.mol,C=C[C@@H]1CN2CC[C@@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1
239,Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@@H](O)[C@H](O)[C@H](O)CO)c2cc1C,1
240,Terbinafine,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,1
241,Ticlopidine,Clc1ccccc1CN1CCc2sccc2C1,1
242,Trimeprazine,C[C@@H](CN(C)C)CN1c2ccccc2Sc2ccccc21,1
243,Zatebradin,COc1ccc(CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC,1
244,Guanabenz,N=C(N)N/N=C/c1c(Cl)cccc1Cl,1
245,Urapidil.mol,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,1
246,Ethylmorphine,CCN1CC[C@]23[C@@H]4C=C[C@H](O)[C@@H]2OC2=C(O)C=C[C@H](C[C@@H]41)[C@@H]23,1
